#   ID    NGCname   IAUname         WideImageURL    ZoomedImageURL    SDSSExploreURL   NSAURL
SAGA032   NGC3786   SDSSJ0043+315   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=11.6618&dec=31.9094&scale=14.062500&opt=G&width=512&height=512   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=11.6618&dec=31.9094&scale=0.70312500&opt=G&width=512&height=512   http://skyserver.sdss3.org/public/en/tools/chart/chart.asp?ra=11.6618&dec=31.9094&opt=G&   http://www.nsatlas.org/getAtlas.html?search=nsaid&nsaID=140004&submit_form=Submit
SAGA033   None      SDSSJ0049+555   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=11.7929&dec=55.9673&scale=14.062500&opt=G&width=512&height=512   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=11.7929&dec=55.9673&scale=0.70312500&opt=G&width=512&height=512   http://skyserver.sdss3.org/public/en/tools/chart/chart.asp?ra=11.7929&dec=55.9673&opt=G&   http://www.nsatlas.org/getAtlas.html?search=nsaid&nsaID=140259&submit_form=Submit
SAGA034   NGC3976   SDSSJ0042+064   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=11.9326&dec=6.74927&scale=14.062500&opt=G&width=512&height=512   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=11.9326&dec=6.74927&scale=0.70312500&opt=G&width=512&height=512   http://skyserver.sdss3.org/public/en/tools/chart/chart.asp?ra=11.9326&dec=6.74927&opt=G&   http://www.nsatlas.org/getAtlas.html?search=nsaid&nsaID=140458&submit_form=Submit
SAGA035   NGC4128   SDSSJ0045+684   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=12.1423&dec=68.7677&scale=14.062500&opt=G&width=512&height=512   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=12.1423&dec=68.7677&scale=0.70312500&opt=G&width=512&height=512   http://skyserver.sdss3.org/public/en/tools/chart/chart.asp?ra=12.1423&dec=68.7677&opt=G&   http://www.nsatlas.org/getAtlas.html?search=nsaid&nsaID=140827&submit_form=Submit
SAGA036   NGC4162   SDSSJ0044+240   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=12.1981&dec=24.1251&scale=14.062500&opt=G&width=512&height=512   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=12.1981&dec=24.1251&scale=0.70312500&opt=G&width=512&height=512   http://skyserver.sdss3.org/public/en/tools/chart/chart.asp?ra=12.1981&dec=24.1251&opt=G&   http://www.nsatlas.org/getAtlas.html?search=nsaid&nsaID=140895&submit_form=Submit
SAGA037   NGC4454   SDSSJ0049-015   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=12.4808&dec=-1.93918&scale=14.06250&opt=G&width=512&height=512   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=12.4808&dec=-1.93918&scale=0.7031250&opt=G&width=512&height=512   http://skyserver.sdss3.org/public/en/tools/chart/chart.asp?ra=12.4808&dec=-1.93918&opt=G&   http://www.nsatlas.org/getAtlas.html?search=nsaid&nsaID=141465&submit_form=Submit
SAGA038   NGC4461   SDSSJ0040+131   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=12.4842&dec=13.1838&scale=14.062500&opt=G&width=512&height=512   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=12.4842&dec=13.1838&scale=0.70312500&opt=G&width=512&height=512   http://skyserver.sdss3.org/public/en/tools/chart/chart.asp?ra=12.4842&dec=13.1838&opt=G&   http://www.nsatlas.org/getAtlas.html?search=nsaid&nsaID=141475&submit_form=Submit
SAGA039   NGC4500   SDSSJ0057+575   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=12.5228&dec=57.9646&scale=14.062500&opt=G&width=512&height=512   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=12.5228&dec=57.9646&scale=0.70312500&opt=G&width=512&height=512   http://skyserver.sdss3.org/public/en/tools/chart/chart.asp?ra=12.5228&dec=57.9646&opt=G&   http://www.nsatlas.org/getAtlas.html?search=nsaid&nsaID=141565&submit_form=Submit
SAGA040   NGC4602   SDSSJ0055-050   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=12.6769&dec=-5.13277&scale=14.06250&opt=G&width=512&height=512   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=12.6769&dec=-5.13277&scale=0.7031250&opt=G&width=512&height=512   http://skyserver.sdss3.org/public/en/tools/chart/chart.asp?ra=12.6769&dec=-5.13277&opt=G&   http://www.nsatlas.org/getAtlas.html?search=nsaid&nsaID=141863&submit_form=Submit
SAGA041   NGC4690   SDSSJ0051-013   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=12.7988&dec=-1.65605&scale=14.06250&opt=G&width=512&height=512   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=12.7988&dec=-1.65605&scale=0.7031250&opt=G&width=512&height=512   http://skyserver.sdss3.org/public/en/tools/chart/chart.asp?ra=12.7988&dec=-1.65605&opt=G&   http://www.nsatlas.org/getAtlas.html?search=nsaid&nsaID=142335&submit_form=Submit
