RA,Dec,PGC#,NSAID,othername,vhelio,distance,r,i,z,I,K,K_err
177.651239187,-0.568609693146,37019,140331,PGC037019,1781.00280762,27.3024406433,15.713756534,15.7733001437,15.7789020266,15.93,,
177.662239499,55.3539647812,37024,41540,11503893+5521139,948.938049316,17.8340873718,13.1473868047,12.8835280095,12.76964213,12.68,10.792,0.07
177.628949964,60.1288353564,37026,124564,11503096+6007433,3383.62451172,48.756362915,15.0706744647,14.6507010913,14.3921485401,13.97,11.368,0.057
177.6771,-10.22,37027,,PGC037027,2399.0,,,,,14.53,,
177.658465962,64.3504803797,37029,19193,UGC06814,3054.29467773,44.9539909363,16.8820415705,16.7637039393,16.7318893641,16.3,,
177.689100948,51.8246117421,37036,140334,NGC_3917,965.001525879,18.1333389282,12.348833063,11.9752158907,11.748731592,10.82,8.854,0.023
177.697475566,56.4576096569,37037,52342,UGC06816,879.596130371,16.808599472,14.4220817001,14.2123267562,14.3286673934,13.38,,
177.695742478,45.8073095957,37038,55714,UGC06818,791.572814941,15.785656929,14.6095155095,14.4458783483,14.3750470495,13.89,,
177.708549488,48.2515767487,37045,160648,PGC037045,811.633728027,16.0196151733,17.0644028595,17.1602042129,17.1409914901,16.2,,
177.73305,14.5949,37048,,PGC037048,1008.0,,,,,,13.708,0.131
177.720765095,38.8807568055,37050,140337,UGC06817,251.0,2.64,12.2292917214,35.1988971673,12.3849227868,,,
177.75735,-28.80597,37061,,g1151017-284821,1739.0,,,,,8.54,6.471,0.017
177.77355,-34.5631,37062,,ESO379-001,3851.0,,,,,14.44,,
177.805982691,50.1569966065,37072,38541,11511343+5009248,930.204956055,17.6613044739,13.0977428251,12.7631633573,12.5392978483,12.25,9.995,0.036
177.80607087,52.0009118865,37073,32680,11511345+5200030,902.577026367,17.2279090881,13.4293451534,13.0596189723,12.8191290126,12.54,10.595,0.05
177.79875,-20.59887,37074,,PGC037074,3648.0,,,,,14.9,,
177.810824281,21.0018839466,37075,113620,PGC037075,3375.07836914,50.4435310364,15.1380699084,14.9031608508,14.7307022021,14.18,12.043,0.104
177.866934955,35.4343445842,37093,90898,11512806+3526037,3095.91455078,44.1630821228,13.5078190766,13.1382187806,12.9148358307,12.74,10.338,0.033
177.87555,-11.42472,37099,,NGC_3942,3696.0,,,,,12.56,11.048,0.103
